Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
160,Karl Etta Eyong,cm CMR,FW,Levante,22-100,2003,14,13,1027,11.4,5,1,6,5,0,1,2,0,0.44,0.09,0.53,0.44,0.53,Matches
161,Edu Expósito,es ESP,MF,Espanyol,29-174,1996,19,17,1327,14.7,0,5,5,0,0,0,3,0,0.00,0.34,0.34,0.00,0.34,Matches
162,Abde Ezzalzouli,ma MAR,MF,Real Betis,24-036,2001,11,9,780,8.7,3,3,6,3,0,0,1,0,0.35,0.35,0.69,0.35,0.69,Matches
163,Omar Falah,es ESP,DF,Oviedo,22-135,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
164,Aleix Febas,es ESP,MF,Elche,29-354,1996,20,20,1788,19.9,2,1,3,2,0,0,4,0,0.10,0.05,0.15,0.10,0.15,Matches
165,Luiz Felipe,it ITA,DF,Rayo Vallecano,28-306,1997,7,5,282,3.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
166,Kiko Femenía,es ESP,"DF,MF",Getafe,34-354,1991,15,13,1043,11.6,0,1,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches
167,Manu Fernández,es ESP,DF,Celta Vigo,24-274,2001,11,8,662,7.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
168,Pedro Fernandez,es ESP,MF,Barcelona,18-010,2008,4,1,92,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
169,Pelayo Fernandez,es ESP,DF,Rayo Vallecano,22-268,2003,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
170,Roberto Férnandez,es ESP,FW,Espanyol,23-203,2002,20,15,1407,15.6,4,2,6,3,1,1,1,0,0.26,0.13,0.38,0.19,0.32,Matches
171,Toni Fernández,es ESP,FW,Barcelona,17-191,2008,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
172,Junior Firpo,do DOM,DF,Real Betis,29-153,1996,8,6,539,6.0,0,1,1,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matches
173,Nicolas Fonseca,uy URU,MF,Oviedo,27-095,1998,3,0,71,0.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
174,Álex Forés,es ESP,FW,Oviedo,24-285,2001,12,2,274,3.0,0,1,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,Matches
175,Pablo Fornals,es ESP,MF,Real Betis,29-334,1996,20,20,1659,18.4,5,4,9,5,0,0,1,0,0.27,0.22,0.49,0.27,0.49,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
176,Héctor Fort,es ESP,"DF,MF",Elche,19-173,2006,9,5,327,3.6,1,2,3,1,0,0,0,0,0.28,0.55,0.83,0.28,0.83,Matches
177,Dimitri Foulquier,fr FRA,DF,Valencia,32-305,1993,13,10,970,10.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
178,Juan Foyth,ar ARG,DF,Villarreal,28-010,1998,12,11,911,10.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
179,Alejandro Francés,es ESP,DF,Girona,23-174,2002,11,5,459,5.1,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
180,Jorge de Frutos,es ESP,"MF,FW",Rayo Vallecano,28-336,1997,18,18,1314,14.6,6,1,7,6,0,0,2,0,0.41,0.07,0.48,0.41,0.48,Matches
181,Javi Galán,es ESP,DF,Osasuna,31-064,1994,3,3,254,2.8,0,1,1,0,0,0,1,0,0.00,0.35,0.35,0.00,0.35,Matches
182,Javi Galán,es ESP,DF,Atlético Madrid,31-064,1994,5,1,134,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
183,Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,32-169,1993,18,17,1167,13.0,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches
184,Conor Gallagher,eng ENG,MF,Atlético Madrid,25-350,2000,19,4,679,7.5,2,0,2,2,0,0,2,0,0.27,0.00,0.27,0.27,0.27,Matches
185,Facundo Garcés,my MAS,DF,Alavés,26-139,1999,6,6,540,6.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
186,Álvaro García,es ESP,"MF,FW",Rayo Vallecano,33-087,1992,20,16,1414,15.7,3,2,5,3,0,0,2,0,0.19,0.13,0.32,0.19,0.32,Matches
187,Eric García,es ESP,"DF,MF",Barcelona,25-013,2001,20,18,1558,17.3,1,0,1,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,Matches
188,Fran Garcia,es ESP,"DF,MF",Real Madrid,26-161,1999,7,5,414,4.6,1,0,1,1,0,0,2,1,0.22,0.00,0.22,0.22,0.22,Matches
189,Gonzalo García,es ESP,FW,Real Madrid,21-304,2004,15,3,310,3.4,3,0,3,3,0,0,1,0,0.87,0.00,0.87,0.87,0.87,Matches
190,Hugo García,es ESP,MF,Celta Vigo,19-083,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
191,Joan García,es ESP,GK,Barcelona,24-263,2001,14,14,1260,14.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
192,Pablo Garcia,es ESP,MF,Real Betis,19-223,2006,12,2,317,3.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
193,Rubén García,es ESP,"MF,FW",Osasuna,32-192,1993,18,12,1032,11.5,2,4,6,2,0,0,2,0,0.17,0.35,0.52,0.17,0.52,Matches
194,Víctor García,es ESP,MF,Levante,28-128,1997,10,4,351,3.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
195,Gavi,es ESP,"FW,MF",Barcelona,21-170,2004,2,0,67,0.7,0,1,1,0,0,0,0,0,0.00,1.34,1.34,0.00,1.34,Matches
196,Paulo Gazzaniga,ar ARG,GK,Girona,34-020,1992,19,19,1662,18.5,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
197,Mourad El Ghezouani,ma MAR,FW,Elche,27-240,1998,2,0,50,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
198,Bryan Gil,es ESP,MF,Girona,24-345,2001,17,11,924,10.3,0,3,3,0,0,0,4,0,0.00,0.29,0.29,0.00,0.29,Matches
199,Moi Gómez,es ESP,MF,Osasuna,31-213,1994,16,10,908,10.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
200,Sergio Gómez,es ESP,DF,Real Sociedad,25-140,2000,20,16,1432,15.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
201,Unai Gómez,es ESP,"MF,FW",Athletic Club,22-242,2003,12,3,374,4.2,1,1,2,1,0,0,0,0,0.24,0.24,0.48,0.24,0.48,Matches
202,Valentín Gómez,ar ARG,DF,Real Betis,22-210,2003,15,10,1014,11.3,1,0,1,1,0,0,4,0,0.09,0.00,0.09,0.09,0.09,Matches
203,Nicolás González,ar ARG,"MF,DF",Atlético Madrid,27-291,1998,15,13,931,10.3,1,0,1,1,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matches
204,Urko González,es ESP,MF,Espanyol,24-308,2001,18,12,1162,12.9,0,1,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,Matches
205,Urko González,es ESP,"DF,MF",Real Sociedad,24-308,2001,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
206,Andoni Gorosabel,es ESP,DF,Athletic Club,29-171,1996,10,6,498,5.5,0,1,1,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,Matches
207,Jon Gorrotxategi,es ESP,MF,Real Sociedad,23-354,2002,18,15,1372,15.2,1,1,2,1,0,0,6,0,0.07,0.07,0.13,0.07,0.13,Matches
208,Mikel Goti,es ESP,MF,Real Sociedad,23-244,2002,4,1,76,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
209,Antoine Griezmann,fr FRA,FW,Atlético Madrid,34-307,1991,20,5,731,8.1,6,0,6,6,0,0,0,0,0.74,0.00,0.74,0.74,0.74,Matches
210,Nemanja Gudelj,rs SRB,"MF,DF",Sevilla,34-067,1991,17,12,1158,12.9,1,0,1,1,0,0,4,0,0.08,0.00,0.08,0.08,0.08,Matches
211,Gonçalo Guedes,pt POR,MF,Real Sociedad,29-054,1996,20,14,1060,11.8,5,2,7,5,0,0,1,0,0.42,0.17,0.59,0.42,0.59,Matches
212,Javier Guerra,es ESP,MF,Valencia,23-021,2003,20,13,1029,11.4,0,2,2,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matches
213,Daniel Guerrero,es ESP,MF,Real Betis,20-180,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
214,Ander Guevara,es ESP,MF,Alavés,28-199,1997,13,2,423,4.7,1,0,1,1,0,0,2,0,0.21,0.00,0.21,0.21,0.21,Matches
215,Pape Gueye,sn SEN,MF,Villarreal,26-363,1999,13,9,776,8.6,2,1,3,2,0,0,5,0,0.23,0.12,0.35,0.23,0.35,Matches
216,Arda Güler,tr TUR,MF,Real Madrid,20-331,2005,20,15,1197,13.3,3,7,10,3,0,0,1,0,0.23,0.53,0.75,0.23,0.75,Matches
217,Gerard Gumbau,es ESP,MF,Rayo Vallecano,31-035,1994,14,3,343,3.8,0,1,1,0,0,0,2,0,0.00,0.26,0.26,0.00,0.26,Matches
218,Jon Guridi,es ESP,"MF,FW",Alavés,30-328,1995,13,7,521,5.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
219,Gorka Guruzeta,es ESP,FW,Athletic Club,29-132,1996,18,14,1137,12.6,2,1,3,2,0,0,3,1,0.16,0.08,0.24,0.16,0.24,Matches
220,Dávid Hancko,sk SVK,DF,Atlético Madrid,28-040,1997,20,18,1622,18.0,0,2,2,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,Matches
221,Haissem Hassan,fr FRA,"MF,FW",Oviedo,23-348,2002,19,11,1104,12.3,0,2,2,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,Matches
222,Jorge Herrando,es ESP,DF,Osasuna,24-328,2001,16,9,835,9.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
223,Sergio Herrera,es ESP,GK,Osasuna,32-231,1993,20,20,1800,20.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
224,Yangel Herrera,ve VEN,MF,Girona,28-008,1998,2,2,110,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
225,Yangel Herrera,ve VEN,MF,Real Sociedad,28-008,1998,2,2,88,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
226,Omar El Hilali,ma MAR,DF,Espanyol,22-132,2003,20,17,1490,16.6,0,2,2,0,0,0,5,0,0.00,0.12,0.12,0.00,0.12,Matches
227,Ali Houary,ma MAR,MF,Elche,20-170,2005,2,2,123,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
228,Dean Huijsen,es ESP,DF,Real Madrid,20-283,2005,14,13,1024,11.4,1,1,2,1,0,0,3,1,0.09,0.09,0.18,0.09,0.18,Matches
229,Pablo Ibáñez,es ESP,MF,Alavés,27-124,1998,20,15,1158,12.9,1,0,1,1,0,0,4,0,0.08,0.00,0.08,0.08,0.08,Matches
230,Stanis Idumbo,be BEL,MF,Sevilla,20-207,2005,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
231,Iglesias,es ESP,"DF,MF",Getafe,27-203,1998,19,18,1594,17.7,1,0,1,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,Matches
232,Borja Iglesias,es ESP,FW,Celta Vigo,33-005,1993,18,12,1046,11.6,7,2,9,5,2,2,3,0,0.60,0.17,0.77,0.43,0.60,Matches
233,Luka Ilić,rs SRB,"MF,FW",Oviedo,26-204,1999,14,6,548,6.1,1,0,1,1,0,0,4,1,0.16,0.00,0.16,0.16,0.16,Matches
234,Isco,es ESP,"FW,MF",Real Betis,33-276,1992,1,0,31,0.3,0,1,1,0,0,0,0,0,0.00,2.90,2.90,0.00,2.90,Matches
235,Urko Izeta,es ESP,FW,Athletic Club,26-115,1999,7,0,73,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
236,Jairo Izquierdo,es ESP,"DF,FW",Elche,32-092,1993,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
237,Adnan Januzaj,be BEL,"MF,FW",Sevilla,30-351,1995,10,2,259,2.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
238,Mikel Jauregizar,es ESP,MF,Athletic Club,22-070,2003,20,20,1735,19.3,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,Matches
239,David Jiménez,es ESP,DF,Real Madrid,21-314,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
240,Jofre,es ESP,MF,Espanyol,24-219,2001,13,5,496,5.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
241,Frenkie de Jong,nl NED,MF,Barcelona,28-255,1997,15,12,1135,12.6,0,3,3,0,0,0,3,1,0.00,0.24,0.24,0.00,0.24,Matches
242,Joan Jordán,es ESP,MF,Sevilla,31-200,1994,2,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
243,Josan,es ESP,"MF,DF",Elche,36-050,1989,11,4,386,4.3,0,2,2,0,0,0,2,0,0.00,0.47,0.47,0.00,0.47,Matches
244,Mateo Joseph,es ESP,"MF,FW",Mallorca,22-095,2003,19,13,1186,13.2,2,1,3,2,0,0,2,0,0.15,0.08,0.23,0.15,0.23,Matches
245,Juanmi,es ESP,"FW,MF",Getafe,32-247,1993,8,0,179,2.0,1,0,1,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches
246,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,25-008,2001,16,16,1440,16.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
247,Vinicius Júnior,br BRA,"FW,MF",Real Madrid,25-194,2000,20,17,1491,16.6,5,5,10,4,1,2,4,0,0.30,0.30,0.60,0.24,0.54,Matches
248,Ferran Jutglà,es ESP,"FW,MF",Celta Vigo,26-355,1999,14,10,727,8.1,2,1,3,2,0,0,3,0,0.25,0.12,0.37,0.25,0.37,Matches
249,Abu Kamara,eng ENG,MF,Getafe,22-185,2003,9,1,196,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
250,Jon Karrikaburu,es ESP,FW,Real Sociedad,23-125,2002,6,0,132,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
251,Kiké,es ESP,FW,Espanyol,36-058,1989,19,7,746,8.3,3,0,3,2,1,1,2,0,0.36,0.00,0.36,0.24,0.24,Matches
252,Koke,es ESP,MF,Atlético Madrid,34-014,1992,19,14,1281,14.2,2,2,4,2,0,0,4,0,0.14,0.14,0.28,0.14,0.28,Matches
253,Luca Koleosho,it ITA,MF,Espanyol,21-129,2004,3,0,63,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
254,Jules Koundé,fr FRA,DF,Barcelona,27-071,1998,19,15,1415,15.7,1,1,2,1,0,0,3,0,0.06,0.06,0.13,0.06,0.13,Matches
255,Lancinet Kourouma,gn GUI,FW,Girona,21-298,2004,5,0,43,0.5,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
256,Goduine Koyalipou,cf CTA,FW,Levante,25-341,2000,11,2,247,2.7,1,0,1,1,0,0,1,0,0.36,0.00,0.36,0.36,0.36,Matches
257,Vladyslav Krapyvtsov,ua UKR,GK,Girona,20-211,2005,2,1,136,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
258,Ladislav Krejčí,cz CZE,DF,Girona,26-277,1999,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
259,Takefusa Kubo,jp JPN,MF,Real Sociedad,24-232,2001,18,13,1179,13.1,2,3,5,2,0,0,0,0,0.15,0.23,0.38,0.15,0.38,Matches
260,Marash Kumbulla,al ALB,DF,Mallorca,25-348,2000,7,5,420,4.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
261,Adrián de la Fuente,es ESP,DF,Levante,26-330,1999,16,13,1222,13.6,1,1,2,0,1,1,3,0,0.07,0.07,0.15,0.00,0.07,Matches
262,Yoel Lago,es ESP,DF,Celta Vigo,21-303,2004,4,4,333,3.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
263,Aymeric Laporte,es ESP,DF,Athletic Club,31-240,1994,11,10,859,9.5,0,1,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,Matches
264,Toni Lato,es ESP,"DF,MF",Mallorca,28-062,1997,6,4,299,3.3,0,1,1,0,0,0,1,0,0.00,0.30,0.30,0.00,0.30,Matches
265,Robin Le Normand,es ESP,DF,Atlético Madrid,29-072,1996,14,10,1003,11.1,1,0,1,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches
266,Florian Lejeune,fr FRA,DF,Rayo Vallecano,34-247,1991,20,20,1790,19.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
267,Youssef Lekhedim,es ESP,"DF,MF",Alavés,20-107,2005,14,8,791,8.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
268,Iñigo Lekue,es ESP,DF,Athletic Club,32-263,1993,6,5,354,3.9,0,0,0,0,0,0,1,2,0.00,0.00,0.00,0.00,0.00,Matches
269,Thomas Lemar,fr FRA,MF,Girona,30-071,1995,11,4,489,5.4,0,1,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,Matches
270,Ruben Lendinez,es ESP,DF,Valencia,22-314,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
271,Clément Lenglet,fr FRA,DF,Atlético Madrid,30-219,1995,9,9,730,8.1,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
272,Robert Lewandowski,pl POL,FW,Barcelona,37-154,1988,15,7,727,8.1,9,1,10,8,1,3,2,0,1.11,0.12,1.24,0.99,1.11,Matches
273,Adrián Liso,es ESP,"FW,MF",Getafe,20-295,2005,17,17,1302,14.5,3,0,3,3,0,0,2,0,0.21,0.00,0.21,0.21,0.21,Matches
274,Javier Llabrés,es ESP,MF,Mallorca,23-133,2002,10,1,139,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
275,Diego Llorente,es ESP,DF,Real Betis,32-159,1993,3,2,82,0.9,1,0,1,1,0,0,0,0,1.10,0.00,1.10,1.10,1.10,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
276,Marcos Llorente,es ESP,DF,Atlético Madrid,30-357,1995,16,16,1350,15.0,0,3,3,0,0,0,3,0,0.00,0.20,0.20,0.00,0.20,Matches
277,Giovani Lo Celso,ar ARG,MF,Real Betis,29-288,1996,17,11,1094,12.2,2,2,4,2,0,0,3,0,0.16,0.16,0.33,0.16,0.33,Matches
278,David López,es ESP,DF,Mallorca,22-353,2003,1,1,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
279,David López,es ESP,DF,Girona,36-105,1989,3,2,202,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
280,Diego López,es ESP,"MF,FW",Valencia,23-254,2002,20,15,1247,13.9,3,0,3,3,0,0,2,0,0.22,0.00,0.22,0.22,0.22,Matches
281,Fermin López,es ESP,MF,Barcelona,22-256,2003,14,8,784,8.7,4,4,8,4,0,0,2,0,0.46,0.46,0.92,0.46,0.92,Matches
282,Javi López,es ESP,DF,Oviedo,23-303,2002,8,5,392,4.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
283,Pau López,es ESP,GK,Real Betis,31-040,1994,7,7,630,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
284,Unai López,es ESP,MF,Rayo Vallecano,30-084,1995,16,14,1027,11.4,0,3,3,0,0,0,7,1,0.00,0.26,0.26,0.00,0.26,Matches
285,Iker Losada,es ESP,MF,Levante,24-174,2001,8,2,237,2.6,2,0,2,2,0,0,0,0,0.76,0.00,0.76,0.76,0.76,Matches
286,Pol Lozano,es ESP,MF,Espanyol,26-108,1999,19,17,1334,14.8,1,0,1,1,0,0,5,0,0.07,0.00,0.07,0.07,0.07,Matches
287,Sergio Lozano,es ESP,MF,Levante,26-304,1999,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
288,Oier Luengo,es ESP,DF,Oviedo,28-072,1997,3,3,225,2.5,0,1,1,0,0,0,1,0,0.00,0.40,0.40,0.00,0.40,Matches
289,José Luis Gayà,es ESP,DF,Valencia,30-242,1995,17,16,1276,14.2,1,1,2,1,0,0,5,1,0.07,0.07,0.14,0.07,0.14,Matches
290,José Luis Morales,es ESP,MF,Levante,38-183,1987,17,1,299,3.3,1,1,2,0,1,1,1,0,0.30,0.30,0.60,0.00,0.30,Matches
291,Dodi Lukebakio,be BEL,MF,Sevilla,28-120,1997,2,2,180,2.0,1,0,1,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches
292,Carlos Macià,es ESP,MF,Villarreal,17-143,2008,4,0,81,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
293,Pablo Maffeo,es ESP,DF,Mallorca,28-194,1997,15,14,1278,14.2,1,0,1,1,0,0,5,0,0.07,0.00,0.07,0.07,0.07,Matches
294,Aitor Mañas,es ESP,FW,Alavés,23-017,2003,4,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
295,Marcão,br BRA,DF,Sevilla,29-231,1996,13,11,938,10.4,1,0,1,1,0,0,5,1,0.10,0.00,0.10,0.10,0.10,Matches
296,José María Giménez,uy URU,DF,Atlético Madrid,31-002,1995,7,6,544,6.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
297,Mariano,do DOM,FW,Alavés,32-174,1993,9,3,281,3.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
298,Arkaitz Mariezkurrena,es ESP,FW,Real Sociedad,20-292,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
