Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
373,Daniel Parejo,es ESP,MF,Villarreal,36-281,1989,16,8,736,8.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
374,Thomas Partey,gh GHA,MF,Villarreal,32-223,1993,13,7,654,7.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
375,Alfonso Pedraza,es ESP,DF,Villarreal,29-288,1996,14,9,835,9.3,1,2,3,1,0,0,4,0,0.11,0.22,0.32,0.11,0.32,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
376,Pedri,es ESP,MF,Barcelona,23-058,2002,16,14,1214,13.5,2,5,7,2,0,0,2,1,0.15,0.37,0.52,0.15,0.52,Matches
377,Adrià Pedrosa,es ESP,"DF,MF",Elche,27-254,1998,12,4,516,5.7,1,1,2,1,0,0,4,0,0.17,0.17,0.35,0.17,0.35,Matches
378,Adrià Pedrosa,es ESP,"DF,MF",Sevilla,27-254,1998,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
379,Iñaki Peña,es ESP,GK,Elche,26-326,1999,13,13,1170,13.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
380,Nicolas Pépé,ci CIV,"FW,MF",Villarreal,30-238,1995,18,11,1052,11.7,2,2,4,2,0,0,2,0,0.17,0.17,0.34,0.17,0.34,Matches
381,Peque,es ESP,"MF,FW",Sevilla,23-110,2002,16,8,677,7.5,1,0,1,1,0,0,5,0,0.13,0.00,0.13,0.13,0.13,Matches
382,Ayoze Pérez,es ESP,FW,Villarreal,32-177,1993,12,6,528,5.9,2,3,5,2,0,0,2,0,0.34,0.51,0.85,0.34,0.85,Matches
383,Francisco Perez,es ESP,"MF,FW",Rayo Vallecano,23-135,2002,17,5,703,7.8,1,0,1,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,Matches
384,Joselu Pérez,es ESP,DF,Getafe,21-316,2004,2,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
385,Léo Pétrot,fr FRA,DF,Elche,28-282,1997,17,7,666,7.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
386,Charles Pickel,cd COD,MF,Espanyol,28-252,1997,11,2,362,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
387,Lander Pinillos,es ESP,MF,Alavés,22-108,2003,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
388,Yeremi Pino,es ESP,MF,Villarreal,23-094,2002,2,2,159,1.8,0,1,1,0,0,0,0,0,0.00,0.57,0.57,0.00,0.57,Matches
389,Portu,es ESP,"FW,MF",Girona,33-246,1992,10,4,474,5.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
390,Beñat Prados,es ESP,MF,Athletic Club,24-348,2001,2,1,85,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
391,Abdón Prats,es ESP,FW,Mallorca,33-046,1992,8,0,85,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
392,Javi Puado,es ESP,"MF,FW",Espanyol,27-242,1998,10,8,674,7.5,2,0,2,1,1,2,2,0,0.27,0.00,0.27,0.13,0.13,Matches
393,Marc Pubill,es ESP,DF,Atlético Madrid,22-216,2003,8,6,563,6.3,0,1,1,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,Matches
394,Dani Raba,es ESP,FW,Valencia,30-085,1995,11,3,252,2.8,0,1,1,0,0,0,0,0,0.00,0.36,0.36,0.00,0.36,Matches
395,Ionuț Radu,ro ROU,GK,Celta Vigo,28-239,1997,20,20,1800,20.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
396,Ugo Raghouber,fr FRA,MF,Levante,22-193,2003,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
397,Antonio Raillo,es ESP,DF,Mallorca,34-106,1991,18,18,1620,18.0,0,1,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches
398,Largie Ramazani,be BEL,"FW,MF",Valencia,24-329,2001,10,0,188,2.1,0,1,1,0,0,0,2,0,0.00,0.48,0.48,0.00,0.48,Matches
399,Raphinha,br BRA,"MF,FW",Barcelona,29-039,1996,12,10,763,8.5,7,3,10,6,1,1,2,0,0.83,0.35,1.18,0.71,1.06,Matches
400,Marcus Rashford,eng ENG,MF,Barcelona,28-083,1997,19,12,1138,12.6,3,6,9,3,0,0,2,0,0.24,0.47,0.71,0.24,0.71,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
401,Giacomo Raspadori,it ITA,FW,Atlético Madrid,25-338,2000,12,1,236,2.6,0,1,1,0,0,0,1,0,0.00,0.38,0.38,0.00,0.38,Matches
402,Andrei Ratiu,ro ROU,DF,Rayo Vallecano,27-216,1998,18,18,1567,17.4,0,1,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,Matches
403,Raúl,es ESP,FW,Osasuna,25-080,2000,19,5,648,7.2,3,0,3,3,0,0,1,0,0.42,0.00,0.42,0.42,0.42,Matches
404,Abde Rebbach,dz ALG,MF,Alavés,27-164,1998,17,8,786,8.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
405,Federico Redondo,ar ARG,MF,Elche,23-004,2003,6,0,32,0.4,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
406,Alejandro Rego,es ESP,MF,Athletic Club,22-225,2003,13,2,435,4.8,1,0,1,1,0,0,2,0,0.21,0.00,0.21,0.21,0.21,Matches
407,Alberto Reina,es ESP,MF,Oviedo,28-135,1997,19,13,1037,11.5,2,0,2,2,0,0,4,1,0.17,0.00,0.17,0.17,0.17,Matches
408,Vitor Reis,br BRA,DF,Girona,20-010,2006,19,18,1608,17.9,0,1,1,0,0,0,4,1,0.00,0.06,0.06,0.00,0.06,Matches
409,Álex Remiro,es ESP,GK,Real Sociedad,30-304,1995,20,20,1800,20.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
410,Oriol Rey,es ESP,MF,Levante,27-331,1998,12,8,748,8.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
411,Diego Rico,es ESP,DF,Getafe,32-333,1993,19,16,1531,17.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
412,Clemens Riedel,de GER,DF,Espanyol,22-187,2003,8,6,518,5.8,0,1,1,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matches
413,Hugo Rincón,es ESP,"DF,MF",Girona,22-360,2003,17,8,938,10.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
414,Luis Rioja,es ESP,MF,Valencia,32-098,1993,19,15,1294,14.4,1,3,4,1,0,0,1,0,0.07,0.21,0.28,0.07,0.28,Matches
415,Rodrigo Riquelme,es ESP,MF,Real Betis,25-295,2000,16,7,587,6.5,0,1,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,Matches
416,Mihailo Ristić,rs SRB,"MF,DF",Celta Vigo,30-083,1995,4,4,251,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
417,Joel Roca,es ESP,"MF,FW",Girona,20-229,2005,17,9,788,8.8,1,0,1,1,0,0,2,0,0.11,0.00,0.11,0.11,0.11,Matches
418,Marc Roca,es ESP,MF,Real Betis,29-057,1996,15,12,996,11.1,0,1,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches
419,Álvaro Rodríguez,uy URU,FW,Elche,21-192,2004,17,11,1024,11.4,3,4,7,3,0,0,0,0,0.26,0.35,0.62,0.26,0.62,Matches
420,Damián Rodríguez,es ESP,MF,Celta Vigo,22-311,2003,2,2,150,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
421,Dani Rodríguez,es ESP,"FW,MF",Mallorca,37-230,1988,2,0,68,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
422,Javi Rodríguez,es ESP,DF,Celta Vigo,22-210,2003,17,13,1224,13.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
423,Ricardo Rodríguez,ch SUI,DF,Real Betis,33-150,1992,13,9,777,8.6,0,1,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,Matches
